packet_size,duration_ms,src_port,dst_port,failed_logins,request_rate,payload_size,touch_count,bytes_per_ms,payload_ratio,auth_density,privileged_dst,is_tamper_event,request_burst,service_risk,touch_intensity,dwell_score,mesh_signal,event_type,scenario,label,actor_type
220,586,53872,443,1,12.61,239,0,0.3754,1.0864,0.0793,0,0,0,0.18,0.0,46.4711,0,network,low_and_slow_probe,attack,apt
442,250,35537,443,0,5.57,373,0,1.768,0.8439,0.0,0,0,0,0.18,0.0,44.8833,0,network,firmware_check,normal,benign
270,92,48443,1883,0,6.4,81,0,2.9348,0.3,0.0,1,0,0,0.52,0.0,14.375,1,mesh_alert,mesh_status,normal,benign
1211,28,61139,8080,0,215.88,604,0,43.25,0.4988,0.0,0,0,1,0.28,0.0,0.1297,0,network,request_flood,attack,bot
237,102,31698,443,0,7.24,105,0,2.3235,0.443,0.0,0,0,0,0.18,0.0,14.0884,0,heartbeat,heartbeat,normal,benign
250,133,32348,443,12,67.47,237,0,1.8797,0.948,0.1779,0,0,0,0.18,0.0,1.9712,0,network,credential_stuffing,attack,human
195,82,38684,1883,0,5.16,50,0,2.378,0.2564,0.0,1,0,0,0.52,0.0,15.8915,1,mesh_alert,mesh_status,normal,benign
426,163,39316,443,0,17.07,205,0,2.6135,0.4812,0.0,0,0,0,0.18,0.0,9.5489,0,network,telemetry_upload,normal,benign
296,138,41127,443,0,12.85,152,0,2.1449,0.5135,0.0,0,0,0,0.18,0.0,10.7393,0,status,dashboard_poll,normal,benign
358,117,27546,8080,0,13.72,186,0,3.0598,0.5196,0.0,0,0,0,0.28,0.0,8.5277,0,network,telemetry_upload,normal,benign
372,177,55720,443,15,63.89,218,0,2.1017,0.586,0.2348,0,0,0,0.18,0.0,2.7704,0,network,credential_stuffing,attack,human
593,186,58195,443,0,3.8,499,0,3.1882,0.8415,0.0,0,0,0,0.18,0.0,48.9474,0,network,firmware_check,normal,benign
417,100,60175,8080,0,12.86,206,0,4.17,0.494,0.0,0,0,0,0.28,0.0,7.776,0,network,telemetry_upload,normal,benign
215,97,36202,1883,0,6.46,80,0,2.2165,0.3721,0.0,1,0,0,0.52,0.0,15.0155,1,mesh_alert,mesh_status,normal,benign
323,185,54111,1883,2,69.6,98,0,1.7459,0.3034,0.0287,1,0,0,0.52,0.0,2.658,1,mesh_alert,mesh_pivot_alert,attack,apt
268,184,52897,80,0,8.15,103,0,1.4565,0.3843,0.0,0,0,0,0.2,0.0,22.5767,0,status,dashboard_poll,normal,benign
65,30,45667,8080,1,90.65,36,0,2.1667,0.5538,0.011,0,0,1,0.28,0.0,0.3309,0,network,port_scan,attack,bot
712,131,49776,1883,7,134.41,420,1,5.4351,0.5899,0.0521,1,1,1,0.52,0.333,0.9746,0,tamper,physical_tamper,attack,human
294,156,60885,80,0,7.06,165,0,1.8846,0.5612,0.0,0,0,0,0.2,0.0,22.0963,0,status,dashboard_poll,normal,benign
615,209,42154,443,0,5.4,451,0,2.9426,0.7333,0.0,0,0,0,0.18,0.0,38.7037,0,network,firmware_check,normal,benign
166,32,62248,445,0,94.36,65,0,5.1875,0.3916,0.0,1,0,1,0.94,0.0,0.3391,0,network,port_scan,attack,bot
253,95,56190,443,3,30.43,174,0,2.6632,0.6877,0.0986,0,0,0,0.18,0.0,3.1219,1,mesh_alert,mesh_pivot_alert,attack,apt
364,149,54643,443,0,10.04,117,0,2.443,0.3214,0.0,0,0,0,0.18,0.0,14.8406,0,status,dashboard_poll,normal,benign
393,163,28025,8080,0,21.29,231,0,2.411,0.5878,0.0,0,0,0,0.28,0.0,7.6562,0,network,telemetry_upload,normal,benign
288,103,49022,1883,0,5.28,114,0,2.7961,0.3958,0.0,1,0,0,0.52,0.0,19.5076,0,heartbeat,heartbeat,normal,benign
1019,20,60637,8080,2,265.94,1139,0,50.95,1.1178,0.0075,0,0,1,0.28,0.0,0.0752,0,network,request_flood,attack,bot
452,139,46932,8080,0,22.85,341,0,3.2518,0.7544,0.0,0,0,0,0.28,0.0,6.0832,0,network,telemetry_upload,normal,benign
384,155,28395,80,0,5.45,216,0,2.4774,0.5625,0.0,0,0,0,0.2,0.0,28.4404,0,status,dashboard_poll,normal,benign
899,27,39428,443,2,214.31,1135,0,33.2963,1.2625,0.0093,0,0,1,0.18,0.0,0.126,0,network,request_flood,attack,bot
154,488,42365,80,1,12.81,144,0,0.3156,0.9351,0.0781,0,0,0,0.2,0.0,38.0952,0,network,low_and_slow_probe,attack,apt
258,98,64062,443,0,6.38,90,0,2.6327,0.3488,0.0,0,0,0,0.18,0.0,15.3605,0,heartbeat,heartbeat,normal,benign
286,115,47771,443,0,5.89,132,0,2.487,0.4615,0.0,0,0,0,0.18,0.0,19.5246,0,heartbeat,heartbeat,normal,benign
174,93,46276,8080,4,26.58,142,0,1.871,0.8161,0.1505,0,0,0,0.28,0.0,3.4989,1,mesh_alert,mesh_pivot_alert,attack,apt
351,230,60195,443,0,8.36,195,0,1.5261,0.5556,0.0,0,0,0,0.18,0.0,27.512,0,status,dashboard_poll,normal,benign
211,893,51710,22,3,12.42,102,1,0.2363,0.4834,0.2415,1,0,0,0.86,0.333,71.9002,0,network,low_and_slow_probe,attack,apt
248,69,60783,1883,0,4.35,101,0,3.5942,0.4073,0.0,1,0,0,0.52,0.0,15.8621,1,mesh_alert,mesh_status,normal,benign
531,405,24203,443,0,5.64,475,0,1.3111,0.8945,0.0,0,0,0,0.18,0.0,71.8085,0,network,firmware_check,normal,benign
288,112,53108,443,0,7.87,106,0,2.5714,0.3681,0.0,0,0,0,0.18,0.0,14.2313,0,heartbeat,heartbeat,normal,benign
475,153,40395,1883,0,21.42,362,0,3.1046,0.7621,0.0,1,0,0,0.52,0.0,7.1429,0,network,telemetry_upload,normal,benign
284,87,59208,1883,0,6.7,121,0,3.2644,0.4261,0.0,1,0,0,0.52,0.0,12.9851,0,heartbeat,heartbeat,normal,benign
652,98,35856,1883,6,130.1,488,4,6.6531,0.7485,0.0461,1,1,1,0.52,1.333,0.7533,0,tamper,physical_tamper,attack,human
430,146,29798,443,0,6.47,315,0,2.9452,0.7326,0.0,0,0,0,0.18,0.0,22.5657,0,network,firmware_check,normal,benign
682,193,39252,443,0,1.0,625,0,3.5337,0.9164,0.0,0,0,0,0.18,0.0,193.0,0,network,firmware_check,normal,benign
178,81,47639,1883,0,6.86,51,0,2.1975,0.2865,0.0,1,0,0,0.52,0.0,11.8076,1,mesh_alert,mesh_status,normal,benign
360,124,59968,443,0,16.84,179,0,2.9032,0.4972,0.0,0,0,0,0.18,0.0,7.3634,0,network,telemetry_upload,normal,benign
610,160,35468,1883,0,17.93,445,0,3.8125,0.7295,0.0,1,0,0,0.52,0.0,8.9236,0,network,telemetry_upload,normal,benign
648,90,37434,23,11,123.1,695,4,7.2,1.0725,0.0894,1,1,1,0.92,1.333,0.7311,0,tamper,physical_tamper,attack,human
173,97,45944,1883,0,7.55,63,0,1.7835,0.3642,0.0,1,0,0,0.52,0.0,12.8477,1,mesh_alert,mesh_status,normal,benign
608,223,50042,443,0,6.17,355,0,2.7265,0.5839,0.0,0,0,0,0.18,0.0,36.1426,0,network,firmware_check,normal,benign
217,76,24132,1883,0,3.65,59,0,2.8553,0.2719,0.0,1,0,0,0.52,0.0,20.8219,1,mesh_alert,mesh_status,normal,benign
468,201,42416,80,0,7.83,155,0,2.3284,0.3312,0.0,0,0,0,0.2,0.0,25.6705,0,status,dashboard_poll,normal,benign
300,72,38579,443,12,71.91,347,0,4.1667,1.1567,0.1669,0,0,0,0.18,0.0,1.0013,0,network,credential_stuffing,attack,human
178,174,43324,443,0,8.72,80,0,1.023,0.4494,0.0,0,0,0,0.18,0.0,19.9541,0,status,dashboard_poll,normal,benign
418,282,23422,443,0,5.47,379,0,1.4823,0.9067,0.0,0,0,0,0.18,0.0,51.5539,0,network,firmware_check,normal,benign
260,53,31248,1883,0,4.82,97,0,4.9057,0.3731,0.0,1,0,0,0.52,0.0,10.9959,1,mesh_alert,mesh_status,normal,benign
230,101,44584,1883,0,7.12,70,0,2.2772,0.3043,0.0,1,0,0,0.52,0.0,14.1854,1,mesh_alert,mesh_status,normal,benign
314,107,30341,443,0,8.37,133,0,2.9346,0.4236,0.0,0,0,0,0.18,0.0,12.7838,0,heartbeat,heartbeat,normal,benign
946,130,38887,22,11,95.06,666,2,7.2769,0.704,0.1157,1,1,1,0.86,0.667,1.3676,0,tamper,physical_tamper,attack,human
392,208,39236,443,22,70.11,218,0,1.8846,0.5561,0.3138,0,0,0,0.18,0.0,2.9668,0,network,credential_stuffing,attack,human
665,212,59183,443,0,2.57,560,0,3.1368,0.8421,0.0,0,0,0,0.18,0.0,82.4903,0,network,firmware_check,normal,benign
253,107,52082,1883,0,10,74,0,2.3645,0.2925,0.0,1,0,0,0.52,0.0,10.7,1,mesh_alert,mesh_status,normal,benign
357,113,36178,80,0,10.37,154,0,3.1593,0.4314,0.0,0,0,0,0.2,0.0,10.8968,0,status,dashboard_poll,normal,benign
217,92,29568,1883,0,9.17,114,0,2.3587,0.5253,0.0,1,0,0,0.52,0.0,10.0327,0,heartbeat,heartbeat,normal,benign
307,125,37586,443,0,9.7,92,0,2.456,0.2997,0.0,0,0,0,0.18,0.0,12.8866,0,status,dashboard_poll,normal,benign
184,125,55196,1883,3,42.25,151,0,1.472,0.8207,0.071,1,0,0,0.52,0.0,2.9586,1,mesh_alert,mesh_pivot_alert,attack,apt
359,169,58167,443,0,8.2,213,0,2.1243,0.5933,0.0,0,0,0,0.18,0.0,20.6098,0,status,dashboard_poll,normal,benign
523,135,63808,1883,0,14.34,315,0,3.8741,0.6023,0.0,1,0,0,0.52,0.0,9.4142,0,network,telemetry_upload,normal,benign
583,410,61772,443,0,5.27,462,0,1.422,0.7925,0.0,0,0,0,0.18,0.0,77.7989,0,network,firmware_check,normal,benign
281,157,37333,80,0,8.75,158,0,1.7898,0.5623,0.0,0,0,0,0.2,0.0,17.9429,0,status,dashboard_poll,normal,benign
379,99,42586,80,0,14.9,142,0,3.8283,0.3747,0.0,0,0,0,0.2,0.0,6.6443,0,status,dashboard_poll,normal,benign
322,691,48057,22,2,16.31,82,0,0.466,0.2547,0.1226,1,0,0,0.86,0.0,42.3666,0,network,low_and_slow_probe,attack,apt
485,187,28566,443,0,17.64,309,0,2.5936,0.6371,0.0,0,0,0,0.18,0.0,10.6009,0,network,telemetry_upload,normal,benign
325,173,47484,443,0,6.67,99,0,1.8786,0.3046,0.0,0,0,0,0.18,0.0,25.937,0,status,dashboard_poll,normal,benign
350,192,47578,443,28,47.55,289,0,1.8229,0.8257,0.5889,0,0,0,0.18,0.0,4.0379,0,network,credential_stuffing,attack,human
198,96,32715,22,14,59.64,294,0,2.0625,1.4848,0.2347,1,0,0,0.86,0.0,1.6097,0,network,credential_stuffing,attack,human
282,90,34841,1883,0,9.32,127,0,3.1333,0.4504,0.0,1,0,0,0.52,0.0,9.6567,0,heartbeat,heartbeat,normal,benign
370,212,30763,80,0,9.17,210,0,1.7453,0.5676,0.0,0,0,0,0.2,0.0,23.1189,0,status,dashboard_poll,normal,benign
475,140,23566,1883,0,9.99,266,0,3.3929,0.56,0.0,1,0,0,0.52,0.0,14.014,0,network,telemetry_upload,normal,benign
226,162,30836,80,0,10.77,80,0,1.3951,0.354,0.0,0,0,0,0.2,0.0,15.0418,0,status,dashboard_poll,normal,benign
338,163,52648,80,0,13.01,176,0,2.0736,0.5207,0.0,0,0,0,0.2,0.0,12.5288,0,status,dashboard_poll,normal,benign
291,119,48626,1883,0,5.91,102,0,2.4454,0.3505,0.0,1,0,0,0.52,0.0,20.1354,0,heartbeat,heartbeat,normal,benign
670,264,48854,443,0,4.84,530,0,2.5379,0.791,0.0,0,0,0,0.18,0.0,54.5455,0,network,firmware_check,normal,benign
246,180,56034,80,0,13.16,94,0,1.3667,0.3821,0.0,0,0,0,0.2,0.0,13.6778,0,status,dashboard_poll,normal,benign
233,137,63510,3389,28,66.15,297,0,1.7007,1.2747,0.4233,1,0,0,0.96,0.0,2.0711,0,network,credential_stuffing,attack,human
438,245,30041,443,0,2.68,376,0,1.7878,0.8584,0.0,0,0,0,0.18,0.0,91.4179,0,network,firmware_check,normal,benign
188,64,42250,1883,0,4.62,69,0,2.9375,0.367,0.0,1,0,0,0.52,0.0,13.8528,0,heartbeat,heartbeat,normal,benign
319,69,53656,22,23,51.26,213,0,4.6232,0.6677,0.4487,1,0,0,0.86,0.0,1.3461,0,network,credential_stuffing,attack,human
608,109,39082,3389,9,115.11,706,2,5.578,1.1612,0.0782,1,1,1,0.96,0.667,0.9469,0,tamper,physical_tamper,attack,human
230,68,61368,1883,0,6.0,97,0,3.3824,0.4217,0.0,1,0,0,0.52,0.0,11.3333,1,mesh_alert,mesh_status,normal,benign
227,94,51548,1883,0,8.01,82,0,2.4149,0.3612,0.0,1,0,0,0.52,0.0,11.7353,0,heartbeat,heartbeat,normal,benign
339,73,64388,22,23,67.76,244,0,4.6438,0.7198,0.3394,1,0,0,0.86,0.0,1.0773,0,network,credential_stuffing,attack,human
453,188,38339,80,0,4.01,270,0,2.4096,0.596,0.0,0,0,0,0.2,0.0,46.8828,0,status,dashboard_poll,normal,benign
204,179,42490,1883,3,39.67,180,0,1.1397,0.8824,0.0756,1,0,0,0.52,0.0,4.5122,1,mesh_alert,mesh_pivot_alert,attack,apt
207,123,34793,1883,0,6.11,82,0,1.6829,0.3961,0.0,1,0,0,0.52,0.0,20.1309,1,mesh_alert,mesh_status,normal,benign
178,101,26102,1883,0,9.54,56,0,1.7624,0.3146,0.0,1,0,0,0.52,0.0,10.587,1,mesh_alert,mesh_status,normal,benign
179,93,31344,1883,0,6.48,62,0,1.9247,0.3464,0.0,1,0,0,0.52,0.0,14.3519,1,mesh_alert,mesh_status,normal,benign
674,250,38783,443,0,5.84,480,0,2.696,0.7122,0.0,0,0,0,0.18,0.0,42.8082,0,network,firmware_check,normal,benign
446,271,32333,443,0,7.09,401,0,1.6458,0.8991,0.0,0,0,0,0.18,0.0,38.2228,0,network,firmware_check,normal,benign
302,160,47148,443,0,6.99,93,0,1.8875,0.3079,0.0,0,0,0,0.18,0.0,22.8898,0,status,dashboard_poll,normal,benign
79,36,42226,443,0,113.46,66,0,2.1944,0.8354,0.0,0,0,1,0.18,0.0,0.3173,0,network,port_scan,attack,bot
297,224,51862,80,0,6.3,162,0,1.3259,0.5455,0.0,0,0,0,0.2,0.0,35.5556,0,status,dashboard_poll,normal,benign
279,78,63604,443,0,9.46,113,0,3.5769,0.405,0.0,0,0,0,0.18,0.0,8.2452,0,heartbeat,heartbeat,normal,benign
344,84,54830,443,0,5.5,162,0,4.0952,0.4709,0.0,0,0,0,0.18,0.0,15.2727,0,heartbeat,heartbeat,normal,benign
241,103,38578,1883,0,5.07,73,0,2.3398,0.3029,0.0,1,0,0,0.52,0.0,20.3156,1,mesh_alert,mesh_status,normal,benign
378,195,30401,443,0,7.15,119,0,1.9385,0.3148,0.0,0,0,0,0.18,0.0,27.2727,0,status,dashboard_poll,normal,benign
435,174,43346,80,0,6.6,190,0,2.5,0.4368,0.0,0,0,0,0.2,0.0,26.3636,0,status,dashboard_poll,normal,benign
657,296,23904,443,0,7.15,588,0,2.2196,0.895,0.0,0,0,0,0.18,0.0,41.3986,0,network,firmware_check,normal,benign
279,456,48936,443,2,17.39,100,1,0.6118,0.3584,0.115,0,0,0,0.18,0.333,26.222,0,network,low_and_slow_probe,attack,apt
341,79,30681,1883,0,10.0,145,0,4.3165,0.4252,0.0,1,0,0,0.52,0.0,7.9,0,heartbeat,heartbeat,normal,benign
219,91,64278,1883,0,8.17,82,0,2.4066,0.3744,0.0,1,0,0,0.52,0.0,11.1383,1,mesh_alert,mesh_status,normal,benign
433,122,45334,8080,0,19.67,261,0,3.5492,0.6028,0.0,0,0,0,0.28,0.0,6.2023,0,network,telemetry_upload,normal,benign
189,776,43194,80,2,15.01,98,0,0.2436,0.5185,0.1332,0,0,0,0.2,0.0,51.6989,0,network,low_and_slow_probe,attack,apt
520,65,33283,23,7,135.36,668,4,8.0,1.2846,0.0517,1,1,1,0.92,1.333,0.4802,0,tamper,physical_tamper,attack,human
248,822,44174,1883,2,9.7,156,0,0.3017,0.629,0.2062,1,0,0,0.52,0.0,84.7423,0,network,low_and_slow_probe,attack,apt
260,123,38779,443,0,6.93,95,0,2.1138,0.3654,0.0,0,0,0,0.18,0.0,17.7489,0,heartbeat,heartbeat,normal,benign
337,100,38045,1883,0,4.24,131,0,3.37,0.3887,0.0,1,0,0,0.52,0.0,23.5849,0,heartbeat,heartbeat,normal,benign
245,68,44762,1883,0,5.74,71,0,3.6029,0.2898,0.0,1,0,0,0.52,0.0,11.8467,1,mesh_alert,mesh_status,normal,benign
964,27,38110,1883,2,294.02,906,0,35.7037,0.9398,0.0068,1,0,1,0.52,0.0,0.0918,0,network,request_flood,attack,bot
346,139,55304,1883,5,53.21,120,0,2.4892,0.3468,0.094,1,0,0,0.52,0.0,2.6123,1,mesh_alert,mesh_pivot_alert,attack,apt
271,91,47467,1883,0,7.11,131,0,2.978,0.4834,0.0,1,0,0,0.52,0.0,12.7989,0,heartbeat,heartbeat,normal,benign
234,108,62881,1883,0,10.09,124,0,2.1667,0.5299,0.0,1,0,0,0.52,0.0,10.7037,0,heartbeat,heartbeat,normal,benign
219,70,43658,1883,0,4.71,79,0,3.1286,0.3607,0.0,1,0,0,0.52,0.0,14.862,1,mesh_alert,mesh_status,normal,benign
956,100,49665,23,10,118.34,369,1,9.56,0.386,0.0845,1,1,1,0.92,0.333,0.845,0,tamper,physical_tamper,attack,human
236,134,49529,443,3,28.93,112,0,1.7612,0.4746,0.1037,0,0,0,0.18,0.0,4.6319,1,mesh_alert,mesh_pivot_alert,attack,apt
232,110,25987,443,0,7.93,118,0,2.1091,0.5086,0.0,0,0,0,0.18,0.0,13.8714,0,heartbeat,heartbeat,normal,benign
67,18,57351,8080,0,95.44,21,0,3.7222,0.3134,0.0,0,0,1,0.28,0.0,0.1886,0,network,port_scan,attack,bot
506,311,30345,443,0,4.54,414,0,1.627,0.8182,0.0,0,0,0,0.18,0.0,68.5022,0,network,firmware_check,normal,benign
349,221,35816,80,0,8.66,111,0,1.5792,0.3181,0.0,0,0,0,0.2,0.0,25.5196,0,status,dashboard_poll,normal,benign
506,125,43696,1883,0,20.28,311,0,4.048,0.6146,0.0,1,0,0,0.52,0.0,6.1637,0,network,telemetry_upload,normal,benign
278,152,61047,443,0,11.64,144,0,1.8289,0.518,0.0,0,0,0,0.18,0.0,13.0584,0,status,dashboard_poll,normal,benign
178,39,45603,23,0,85.31,90,0,4.5641,0.5056,0.0,1,0,0,0.92,0.0,0.4572,0,network,port_scan,attack,bot
817,115,39059,1883,10,98.58,757,3,7.1043,0.9266,0.1014,1,1,1,0.52,1.0,1.1666,0,tamper,physical_tamper,attack,human
351,109,38267,443,0,16.76,250,0,3.2202,0.7123,0.0,0,0,0,0.18,0.0,6.5036,0,network,telemetry_upload,normal,benign
282,93,45601,1883,0,7.72,137,0,3.0323,0.4858,0.0,1,0,0,0.52,0.0,12.0466,0,heartbeat,heartbeat,normal,benign
654,313,25905,443,0,4.48,424,0,2.0895,0.6483,0.0,0,0,0,0.18,0.0,69.8661,0,network,firmware_check,normal,benign
447,188,27459,8080,0,19.26,285,0,2.3777,0.6376,0.0,0,0,0,0.28,0.0,9.7612,0,network,telemetry_upload,normal,benign
286,87,26902,1883,0,7.02,117,0,3.2874,0.4091,0.0,1,0,0,0.52,0.0,12.3932,1,mesh_alert,mesh_status,normal,benign
510,333,30560,443,0,5.59,304,0,1.5315,0.5961,0.0,0,0,0,0.18,0.0,59.5707,0,network,firmware_check,normal,benign
1029,22,33398,8080,1,409.45,1261,0,46.7727,1.2255,0.0024,0,0,1,0.28,0.0,0.0537,0,network,request_flood,attack,bot
74,30,47364,443,2,148.59,67,0,2.4667,0.9054,0.0135,0,0,1,0.18,0.0,0.2019,0,network,port_scan,attack,bot
286,85,42636,1883,0,9.19,73,0,3.3647,0.2552,0.0,1,0,0,0.52,0.0,9.2492,1,mesh_alert,mesh_status,normal,benign
438,148,54438,8080,0,23.19,285,0,2.9595,0.6507,0.0,0,0,0,0.28,0.0,6.3821,0,network,telemetry_upload,normal,benign
260,201,62830,80,0,12.07,136,0,1.2935,0.5231,0.0,0,0,0,0.2,0.0,16.6529,0,status,dashboard_poll,normal,benign
489,181,49578,8080,0,14.74,285,0,2.7017,0.5828,0.0,0,0,0,0.28,0.0,12.2795,0,network,telemetry_upload,normal,benign
228,98,42081,1883,0,3.93,102,0,2.3265,0.4474,0.0,1,0,0,0.52,0.0,24.9364,1,mesh_alert,mesh_status,normal,benign
364,190,29172,80,0,8.12,134,0,1.9158,0.3681,0.0,0,0,0,0.2,0.0,23.399,0,status,dashboard_poll,normal,benign
468,143,59380,8080,0,19.11,338,0,3.2727,0.7222,0.0,0,0,0,0.28,0.0,7.483,0,network,telemetry_upload,normal,benign
258,112,25146,1883,0,8.61,107,0,2.3036,0.4147,0.0,1,0,0,0.52,0.0,13.0081,1,mesh_alert,mesh_status,normal,benign
290,72,36336,443,0,8.13,136,0,4.0278,0.469,0.0,0,0,0,0.18,0.0,8.8561,0,heartbeat,heartbeat,normal,benign
283,114,24628,443,0,9.93,147,0,2.4825,0.5194,0.0,0,0,0,0.18,0.0,11.4804,0,heartbeat,heartbeat,normal,benign
314,81,45808,1883,0,4.51,146,0,3.8765,0.465,0.0,1,0,0,0.52,0.0,17.9601,0,heartbeat,heartbeat,normal,benign
521,151,58800,443,0,4.98,321,0,3.4503,0.6161,0.0,0,0,0,0.18,0.0,30.3213,0,network,firmware_check,normal,benign
246,75,55891,1883,0,5.67,76,0,3.28,0.3089,0.0,1,0,0,0.52,0.0,13.2275,1,mesh_alert,mesh_status,normal,benign
208,91,53175,1883,0,4.79,107,0,2.2857,0.5144,0.0,1,0,0,0.52,0.0,18.9979,0,heartbeat,heartbeat,normal,benign
448,159,38843,443,0,1.57,331,0,2.8176,0.7388,0.0,0,0,0,0.18,0.0,101.2739,0,network,firmware_check,normal,benign
847,138,42348,23,10,102.14,448,2,6.1377,0.5289,0.0979,1,1,1,0.92,0.667,1.3511,0,tamper,physical_tamper,attack,human
356,112,34291,8080,2,25.96,217,0,3.1786,0.6096,0.077,0,0,0,0.28,0.0,4.3143,1,mesh_alert,mesh_pivot_alert,attack,apt
194,85,47520,1883,0,8.17,65,0,2.2824,0.3351,0.0,1,0,0,0.52,0.0,10.4039,1,mesh_alert,mesh_status,normal,benign
532,176,60726,1883,0,14.07,323,0,3.0227,0.6071,0.0,1,0,0,0.52,0.0,12.5089,0,network,telemetry_upload,normal,benign
328,67,56993,443,0,4.76,171,0,4.8955,0.5213,0.0,0,0,0,0.18,0.0,14.0756,0,heartbeat,heartbeat,normal,benign
679,200,23864,443,0,5.38,623,0,3.395,0.9175,0.0,0,0,0,0.18,0.0,37.1747,0,network,firmware_check,normal,benign
349,235,36623,80,0,10.36,118,0,1.4851,0.3381,0.0,0,0,0,0.2,0.0,22.6834,0,status,dashboard_poll,normal,benign
262,175,44491,80,0,7.74,145,0,1.4971,0.5534,0.0,0,0,0,0.2,0.0,22.6098,0,status,dashboard_poll,normal,benign
388,165,29714,443,0,15.32,235,0,2.3515,0.6057,0.0,0,0,0,0.18,0.0,10.7702,0,network,telemetry_upload,normal,benign
715,127,36232,3389,9,138.95,386,4,5.6299,0.5399,0.0648,1,1,1,0.96,1.333,0.914,0,tamper,physical_tamper,attack,human
396,147,32341,1883,0,12.06,288,0,2.6939,0.7273,0.0,1,0,0,0.52,0.0,12.1891,0,network,telemetry_upload,normal,benign
561,232,45071,443,0,2.98,409,0,2.4181,0.7291,0.0,0,0,0,0.18,0.0,77.8523,0,network,firmware_check,normal,benign
246,90,61790,443,4,27.38,152,0,2.7333,0.6179,0.1461,0,0,0,0.18,0.0,3.2871,1,mesh_alert,mesh_pivot_alert,attack,apt
484,117,36288,443,0,14.37,360,0,4.1368,0.7438,0.0,0,0,0,0.18,0.0,8.142,0,network,telemetry_upload,normal,benign
415,146,34807,80,0,10.1,211,0,2.8425,0.5084,0.0,0,0,0,0.2,0.0,14.4554,0,status,dashboard_poll,normal,benign
114,20,58783,3389,2,90.9,81,0,5.7,0.7105,0.022,1,0,1,0.96,0.0,0.22,0,network,port_scan,attack,bot
239,94,61698,1883,4,34.9,108,0,2.5426,0.4519,0.1146,1,0,0,0.52,0.0,2.6934,1,mesh_alert,mesh_pivot_alert,attack,apt
306,91,24826,1883,0,7.24,155,0,3.3626,0.5065,0.0,1,0,0,0.52,0.0,12.5691,0,heartbeat,heartbeat,normal,benign
307,100,49101,443,4,53.69,129,0,3.07,0.4202,0.0745,0,0,0,0.18,0.0,1.8625,1,mesh_alert,mesh_pivot_alert,attack,apt
